Customer No.,Company,Address,Address 2,City,State,Sub Type,Bookings YTD,Previous Years Bookings
3PP001,3 Phase Power Systems Inc.,1323 Kelliher Road,,Prince George,BC,2. TARGET (OUTSIDE),0,0
3PP003,3 Phase Power Systems Inc.,#7 - 7551 Vantage Way,,Delta,BC,,0,0
3PP004,3 Phase Power Systems Inc.  (H/O),7168 Honeyman St.,,Delta,BC,,0,0
FOQ001,4th Quadrant Solutions Inc.,107 Coverdale Way N.E.,,Calgary,AB,5. QUALIFIED LOW,0,0
ASI0014,Aarcomm Systems Inc.,106-18 Fawcett Road,,Coquitlam,BC,,0,0
EM4006470,ABB Ber Mac,250 - 42nd Avenue SE,,Calgary,AB,3. GOOD PROSPECT,0,0
CT4000930,ABB Inc.,9800 Endeavor Drive SE,,Calgary,AB,3. GOOD PROSPECT,0,0
ACA005,ACAMP,1919 - 94th Street NW,,Edmonton,AB,,0,0
ACA006,Acamp,1480 - 28th Street NE,Bay 3,Calgary,AB,3. GOOD PROSPECT,0,0
ACC0024,Acceleware Ltd.,435 - 10th Avenue SE,,Calgary,AB,2. TARGET (OUTSIDE),0,0
APG001,Accurate Power Group,#107 - 1089 East Kent Ave. N,,Vancouver,BC,3. GOOD PROSPECT,0,2896.56
AFG002,ACR Fuller Group,511 - 12th Avenue,,Nisku,AB,,0,0
EM4008978,ACR Systems Inc.,15110 - 54A Ave.,Unit 201,Surrey,BC,6. NEW PROSPECT,0,0
ASL001,Acutec Systems Ltd.,109 Main St.,PO Box 217,Lampman,SK,3. GOOD PROSPECT,0,0
ACE004,Acutech Electric,7 Skyline Crescent,,Calgary,AB,3. GOOD PROSPECT,0,0
ADC003,"Advanced Cyclotron Systems, Inc.",7851 Alderbridge Way,,Richmond,BC,,140.62,718.56
AFS004,Advanced Flow Systems Inc.,PO Box 709,Stn Whonnock,Maple Ridge,BC,5. QUALIFIED LOW,0,0
ASI001,Advanced Systems Integrators Ltd.,9002 - 161 St.,,Surrey,BC,5. QUALIFIED LOW,0,0
AII0010,Advent Instruments Inc.,111 - 1515 Broadway St.,,Port Coquitlam,BC,,0,0
AIS0015,AEC Industrial Solutions,102 - 243 Clearview Drive,,Red Deer County,AB,TOP 50 - ZOWSLEY,0,22259.52
