"Customer No.",Company,Contact,Phone,Address,City,State,Zip,Type,"Sub Type",Country,Territory,"Address 2","Bookings YTD","Previous Years Bookings","Sub Type","Sales Rep 2"
"3PP001    ","3 Phase Power Systems Inc.",,"(250)562-4343                 ","1323 Kelliher Road","Prince George","BC                                                ","V2L 5S8        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"3PP003    ","3 Phase Power Systems Inc.",,"(604)940-7740                 ","#7 - 7551 Vantage Way",Delta,"BC                                                ","V4G 1C9        ","PROSPECT            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"3PP004    ","3 Phase Power Systems Inc.  (H/O)","Ron Csermak","(604)940-7740                 ","7168 Honeyman St.",Delta,"BC                                                ","V4G 1G1        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"FOQ001    ","4th Quadrant Solutions Inc.","Ryan South","(403)619-2738                 ","107 Coverdale Way N.E.",Calgary,"AB                                                ","T3K 4J5        ","CUSTOMER            ","5. QUALIFIED LOW    ","Canada              ","ALBERTA             ",,0,0,"5. QUALIFIED LOW    ","ZOWSLEY             "
"ASI0014   ","Aarcomm Systems Inc.",,"(604)379-5091                 ","106-18 Fawcett Road",Coquitlam,"BC                                                ","V3K 6X9        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"EM4006470 ","ABB Ber Mac",,"(403)287-6026                 ","250 - 42nd Avenue SE","Calgary                       ","AB                                                ","T2G 1Y4        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"CT4000930 ","ABB Inc.",,"(403)252-7551                 ","9800 Endeavor Drive SE","Calgary                       ","AB                                                ","T3S OA1        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ","                                                  ",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"ACA005    ",ACAMP,,"(780)468-2443                 ","1919 - 94th Street NW",Edmonton,"AB                                                ","T6N 1E6        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"ACA006    ",Acamp,,"(403)291-8946                 ","1480 - 28th Street NE",Calgary,"AB                                                ","T2A 7W6        ","PROSPECT            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ","Bay 3",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"ACC0024   ","Acceleware Ltd.",,"                              ","435 - 10th Avenue SE",Calgary,"AB                                                ","T2G 0W3        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","ALBERTA             ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"APG001    ","Accurate Power Group",,"(604)638-7226                 ","#107 - 1089 East Kent Ave. N",Vancouver,"BC                                                ","V5X 4V9        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ",,0,2896.56,"3. GOOD PROSPECT    ","ZOWSLEY             "
"AFG002    ","ACR Fuller Group",,"(780)955-2802                 ","511 - 12th Avenue",Nisku,"AB                                                ","T9E 7N8        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"EM4008978 ","ACR Systems Inc.                                  ",,"(604)591-1128                 ","15110 - 54A Ave.","Surrey                        ","BC                                                ","V3W 1K7        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","BC                  ","Unit 201",0,0,"6. NEW PROSPECT     ","ZOWSLEY             "
"ASL001    ","Acutec Systems Ltd.","John Grimes","(306)487-2536                 ","109 Main St.",Lampman,"SK                                                ","S0C 1N0        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","PRAIRIES            ","PO Box 217",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"ACE004    ","Acutech Electric","Tim Lang","(403)241-5804                 ","7 Skyline Crescent",Calgary,"AB                                                ","               ","PROSPECT            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"ADC003    ","Advanced Cyclotron Systems, Inc.",,"(604)276-1493                 ","7851 Alderbridge Way",Richmond,"BC                                                ","V6X 2A4        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,140.62,718.56,"                    ","ZOWSLEY             "
"AFS004    ","Advanced Flow Systems Inc.",,"(604)462-1514                 ","PO Box 709","Maple Ridge","BC                                                ","V2W 0C9        ","CUSTOMER            ","5. QUALIFIED LOW    ","Canada              ","BC                  ","Stn Whonnock",0,0,"5. QUALIFIED LOW    ","ZOWSLEY             "
