"Customer No.",Company,Contact,Phone,Address,City,State,Zip,Type,"Sub Type",Country,Territory,"Address 2","Bookings YTD","Previous Years Bookings","Sub Type","Sales Rep 2"
"3PP001    ","3 Phase Power Systems Inc.",,"(250)562-4343                 ","1323 Kelliher Road","Prince George","BC                                                ","V2L 5S8        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"3PP003    ","3 Phase Power Systems Inc.",,"(604)940-7740                 ","#7 - 7551 Vantage Way",Delta,"BC                                                ","V4G 1C9        ","PROSPECT            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"3PP004    ","3 Phase Power Systems Inc.  (H/O)","Ron Csermak","(604)940-7740                 ","7168 Honeyman St.",Delta,"BC                                                ","V4G 1G1        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"ASI0014   ","Aarcomm Systems Inc.",,"(604)379-5091                 ","106-18 Fawcett Road",Coquitlam,"BC                                                ","V3K 6X9        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"ACC0024   ","Acceleware Ltd.",,"                              ","435 - 10th Avenue SE",Calgary,"AB                                                ","T2G 0W3        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","ALBERTA             ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"APG001    ","Accurate Power Group",,"(604)638-7226                 ","#107 - 1089 East Kent Ave. N",Vancouver,"BC                                                ","V5X 4V9        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ",,0,2896.56,"3. GOOD PROSPECT    ","ZOWSLEY             "
"AFG002    ","ACR Fuller Group",,"(780)955-2802                 ","511 - 12th Avenue",Nisku,"AB                                                ","T9E 7N8        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"ADC003    ","Advanced Cyclotron Systems, Inc.",,"(604)276-1493                 ","7851 Alderbridge Way",Richmond,"BC                                                ","V6X 2A4        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,140.62,718.56,"                    ","ZOWSLEY             "
"ASI001    ","Advanced Systems Integrators Ltd.",,"(604)581-8997                 ","9002 - 161 St.",Surrey,"BC                                                ","V4N 4R2        ","CUSTOMER            ","5. QUALIFIED LOW    ","Canada              ","BC                  ",,0,0,"5. QUALIFIED LOW    ","ZOWSLEY             "
"AIS0015   ","AEC Industrial Solutions",,"(403)346-2071                 ","102 - 243 Clearview Drive","Red Deer County","AB                                                ","T4E 0A1        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","ALBERTA             ",,0,22259.52,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
"AAS004    ","Aerocorp Avionic Solutions Inc.",,"(403)717-9730                 ","125 - 4950 McCall Way NE",Calgary,"AB                                                ","T2E 2B9        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"SAF003    ","AI Radar",,"(604)369-5937                 ","1795 Powell Street",Vancouver,"BC                                                ","V5L 1H6        ","CUSTOMER            ","                    ","Canada              ","BC                  ","Suite 300",0,2897,"                    ","ZOWSLEY             "
"RT57658   ","Aircom Instrumentation Ltd",,"(780)434-6916                 ","9328 - 37 Avenue",Edmonton,"AB                                                ","T6E 5K3        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","ALBERTA             ",,0,4863.38,"6. NEW PROSPECT     ","ZOWSLEY             "
"AGN001    ","AKVA Group North America Inc  (H/O)",,"(250)286-8802                 ","#400 - 1481, 16th Ave.","Campbell River","BC                                                ","V9W 4J3        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"EM4011438 ","Alberta Industrial Controls & Drives Inc.",,"(780) 436 4848                ","9720 - 47 Avenue",Edmonton,"AB                                                ","T6E 5P3        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ",,0,7084.93,"3. GOOD PROSPECT    ","ZOWSLEY             "
"AMI0023   ","Alberta Machine Intelligence Institute",,"                              ","#1101, 10065 Jasper Avenue",Edmonton,"AB                                                ","T5J 3B1        ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"AMP003    ","Alberta Mobile Power Systems",,"(780)986-6691                 ","#103, 3906 - 71 Avenue",Leduc,"AB                                                ","T9E 0R8        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
