Customer No.,Company,Address,Address 2,City,State,Sub Type,Bookings YTD,Previous Years Bookings,5Y Average
ACA006,Acamp,1480 - 28th Street NE,Bay 3,Calgary,AB,3. GOOD PROSPECT,0,0,no match
ACE004,Acutech Electric,7 Skyline Crescent,,Calgary,AB,3. GOOD PROSPECT,0,0,no match
AII0010,Advent Instruments Inc.,111 - 1515 Broadway St.,,Port Coquitlam,BC,,0,0,no match
AKS001,Aker Solutions,6835 Railway Street S.E.,Suite #300,Calgary,AB,3. GOOD PROSPECT,0,0,no match
BP172806,Alberta Envirofuels Inc.,PO Bag 2424,Att'n: Accounts Payable,Edmonton,AB,ZZ TOP-100 (INSIDE),0,0,no match
ALL006,Alcatel Lucent,2116 - 27th Avenue NE,Suite 341,Calgary,AB,5. QUALIFIED LOW,0,0,no match
ALI0014,All-tek Industrial,6013 53 avenue,,Lloydminster,AB,,0,0,no match
AES0013,Alliance Engineering Serivices,1035 Logan Avenue,,Winnipeg,MB,,0,0,no match
ALC0021,Allteck Line Contractors Inc. (H/O),300 4333 Still Creek Drive,,Burnaby,BC,,0,0,no match
API008,Almita Piling Inc,RR#4 Site 1 Box 8,,Ponoka,AB,,0,0,no match
AIS007,Altec Integrated Solutions Ltd.,"Unit 120, 185 Golden Drive",,Coquitlam,BC,6. NEW PROSPECT,0,0,no match
AOF002,AML Oceanographic (formerly Applied Microsystems),2071 Malaview Avenue,,Sidney,BC,,0,0,no match
ANC0011,Antec Controls,638 Raleigh Street,,Winnipeg,MB,,0,0,no match
AVS001,Apex Valve services,109-96 Ave,,Grande Prairie,AB,,0,0,no match
TP2178810,Applied Electronics Limited,1225 East Keith Road Unit 5B,,North Vancouver,BC,6. NEW PROSPECT,0,0,no match
AEL007,Armax Electric Ltd.,2924-12 Ave. North,,Lethbridge,AB,,0,0,no match
ATI007,ATI Telecom International,324B Keewatin Street,,Winnipeg,MB,,0,0,no match
ATI006,ATI Telecom International,4340 - 97 Street,,Edmonton,AB,,0,0,no match
ATI0012,AWT Technologies Inc,280 Midpark Way SE,Suite 205,Calgary,AB,,0,0,no match
BVO001,B&V Oil & Gas,1313 Brier Park way NW.,,Medicine Hat,AB,,0,0,no match
EM4013660,Ballard Generation Systems,3751 North Fraser Way,,Burnaby,BC,,0,0,no match
DAV216333,Ballard Transportation Division,#3- 3751 North Fraser Way,,Burnaby,BC,,0,0,no match
BOS003,Beacon Oilfield Services,1609 brier Park Rd. N.W.,,Medicine Hat,AB,,0,0,no match
BME002,Ber Mac Electrical Instrumentation,9604 - 41 Avenue,,Edmonton,AB,3. GOOD PROSPECT,0,0,no match
BIE005,Bi-Systems Electric & Controls,6015 53 avenue,,Lloydminster,AB,,0,0,no match
BGI001,Big Green Island Transportation,2422 Carolina Street,,Vancouver,BC,,0,0,no match
ARS002,Blue Falls Manufacturing / Arctic Spas,4549 - 52 Street,Box 560,Thorsby,AB,,0,0,no match
BNE002,BNG Engineering,7616 - 73rd Ave.,,Edmonton,AB,,0,0,no match
BWS001,Bonnetts Wireline Services Ltd.,"RR2, Site 33, Box 1",,Grand Prairie,AB,6. NEW PROSPECT,0,0,no match
BSA001,Broadcast Systems & Equipment Inc.,"#5, 1305 - 33rd Street NE",,Calgary,AB,3. GOOD PROSPECT,0,0,no match
CJE001,C & J Electric,"309 , 151 East Lake Blvd. NE",,Airdrie,AB,3. GOOD PROSPECT,0,0,no match
CPT001,cactus Pressure Testing,9513-111 St.,,Grande Pairie,AB,,0,0,no match
CES0012,Calmena Energy Services Drilling Division,6109 46 St,,Leduc,AB,,0,0,no match
CAE009,Calrose Electric,"#3, 4045 - 74 Ave SE",,Calgary,AB,,0,0,no match
CCC009,CB City Communications,26 Strathmoor Drive,,Sherwood Park,AB,,0,0,no match
DAV263780,CBVL Robotics,2130 Hartley Ave.,,Coquitlam,BC,2. TARGET (OUTSIDE),0,0,no match
CEE007,CEL Electrical,"#2 , 4617-41st.",,Camrose,AB,,0,0,no match
CEC009,Central Controls & Specialties,1252 Border Street,,Winnipeg,MB,,0,0,no match
CEC0010,Clean Energy Consulting Inc,102 - 1558 Quinn St.,,Prince George,BC,,0,0,no match
CME002,CMN Electrical,18115- 105 Avenue,Suite 101,Edmonton,AB,,0,0,no match
COT0011,Command Technology,3016 19Street NE,Suite 200,Calgary,AB,,0,0,no match
COA001,Condor Aircraft Accessories Inc.,620A McTavish Rd. NE,Hangar #5,Calgary,AB,3. GOOD PROSPECT,0,0,no match
COA008,Connacher Oil and Gas Limited,"Suite 900, 332 - 6 Avenue SW",,Calgary,AB,,0,0,no match
COT0010,Control Techniques,#100 - 6225 - 10th St SE,,Calgary,AB,,0,0,no match
COE0013,Cookshaw Electric,9607-112 st.,,Grande Prairie,AB,,0,0,no match
CPI0010,CPI  Service Allwest,1954-10th. Ave. N.W.,,Medicine Hat,AB,,0,0,no match
CUE003,Cunningham Electric,#7-7880-48 Ave,,Red Deer,AB,,0,0,no match
DPA002,Deltec Power and Controls Systems,1430  36 St. N.,,Lethbridge,AB,,0,0,no match
DID001,Diamond Doors,400 Airport Dr,,Winkler,MB,3. GOOD PROSPECT,0,0,no match
DAA008,Donison and Associates,1101 78 Ave,,Edmonton,AB,,0,0,no match
DAV180263,Douglas College,,,New Westminster,BC,3. GOOD PROSPECT,0,0,no match
DSS005,Downhole Sonic Solutions Inc,"170, 5255 McCall Way N.E.",,Calgary,AB,,0,0,no match
DEL005,DX3 Entreprises Ltd,"#109, 117 Pembina Road",,Sherwood Park,AB,,0,0,no match
DPF001,Dynamysk Panel Fabrication,"#8030, 11500 35th Street SE",,Calgary,AB,,0,0,no match
EEC008,ECM Electrical Controls (see TP914972),,,Edmonton,AB,,0,0,no match
ERE001,Electram Rotary Equipment Ltd.,18112 - 107 Ave,,Edmonton,AB,3. GOOD PROSPECT,0,0,no match
DAV111541,Enmax Energy Corporation,239- 19 Street N.E.,,Calgary,AB,3. GOOD PROSPECT,0,0,no match
EM4007120,Enmax Power Corporation,2808 Spiller Road,Financial Services Div.,Calgary,AB,6. NEW PROSPECT,0,0,no match
EPS004,Enmax Power Service Corp.,4110 - 9th Street S.E.,,Calgary,AB,6. NEW PROSPECT,0,0,no match
EEL007,Envent Engineering Ltd,7060E Farrell Road SE,,Calgary,AB,3. GOOD PROSPECT,0,0,no match
ESC005,Equipment Solutions Canada Inc.,c/o Continental Machining,6235B - 86 Ave SE.,Calgary,AB,5. QUALIFIED LOW,0,0,no match
EPP001,Escape Power Products,132-37565 Highway #2,,Red Deer,AB,,0,0,no match
EXI005,Exchanger Industries,"140 Quarry Park Blvd SE, Suite 120",,Calgary,AB,,0,0,no match
FCE003,First Choice Electrical Supply,10913 97th Ave,,Grande Prairie,AB,,0,0,no match
FBL001,Forbes Bros. Ltd,"#300, 10403 - 172 Street",,Edmonton,AB,,0,0,no match
BP1304070,FortisAlberta Inc.,"PO Box 2570, Station M",,Calgary,AB,ZZ TOP-100 (INSIDE),0,0,no match
GAS004,Gas/Drive,1269  Brier Park Drive NW.,,Medicine Hat,AB,,0,0,no match
GEO003,GE Oil & Gas Inc.,"3400, 525 - 8th Avenue SW",,Calgary,AB,,0,0,no match
GRB002,Greenlane Biogas,110 - 3605 Gilmore Way,,Burnaby,BC,,0,0,no match
GUA002,Guest Automation,"Site 8, Box 56, RR1",,Okotoks,AB,6. NEW PROSPECT,0,0,no match
GUC003,Guest Controls,6320 63 avenue,,Lloydminster,AB,,0,0,no match
WST14408,Hemisphere GPS,4110 - 9th Street SE,,Calgary,AB,3. GOOD PROSPECT,0,0,no match
HEC005,Highline Electrical Constructors,14608 - 123 Avenue,,Edmonton,AB,6. NEW PROSPECT,0,0,no match
TP914786,Honeywell Controls,#17; 5925 - 12 Street S.E.,,Calgary,AB,6. NEW PROSPECT,0,0,no match
IWS004,ICE Western Sales,,9765 - 54th Street S.E.,Calgary,AB,,0,0,no match
IIC002,ICS Integrated Control Solutions Inc,17 Fawcett Rd,2nd Floor Suite 342,Coquitlam,BC,5. QUALIFIED LOW,0,0,no match
AL171437,Idea Technologies,6746 - 75th Street,,Edmonton,AB,6. NEW PROSPECT,0,0,no match
IOT003,Ionomr Technology,111-2386 East Mall,,Vancouver,BC,,0,0,no match
ITC003,Itron Canada,505B McDonald St,,Regina,SK,,0,0,no match
JDE001,JD Electric,1206  8A Street,,Nisku,AB,,0,0,no match
JOS003,Johnson Systems,1923 Highfield Crescent SE,,Calgary,AB,,0,0,no match
KMI002,Karve Machine Inc,6133 - 80 Street NW,,Edmonton,AB,,0,0,no match
KEL004,Kels Electric Ltd,505 Sioux Road,,Sherwood Park,AB,6. NEW PROSPECT,0,0,no match
KES009,Kings Energy Services,8402-124 St. site #20,,Grande Prairie,AB,,0,0,no match
LPS003,LA Power Systems,303  24 St. N.,,Lethbridge,AB,,0,0,no match
LPS004,LA Power Systems,450-4th. Ave.,,Lethbridge,AB,,0,0,no match
LAL002,Legend Automation Ltd,"2nd floor, unit 201, 122 4th Ave SW",,High River,AB,,0,0,no match
LEE0010,Lex Engineering,Suite 110 - 4321 Still Creek Drive,,Burnaby,BC,,0,0,no match
LUS002,LineStar Utility Supply Inc,17949 Roan Place,,Surrey,BC,6. NEW PROSPECT,0,0,no match
MAC008,MacGyver Controls,9705-113 st.,,Grande Prairie,AB,,0,0,no match
