Customer No.,Company,Address,Address 2,City,State,Sub Type,Bookings YTD,Previous Years Bookings,5Y Average
3PP003,3 Phase Power Systems Inc.,#7 - 7551 Vantage Way,,Delta,BC,,0,0,1213.914
3PP001,3 Phase Power Systems Inc.,1323 Kelliher Road,,Prince George,BC,2. TARGET (OUTSIDE),0,0,1213.914
3PP004,3 Phase Power Systems Inc.  (H/O),7168 Honeyman St.,,Delta,BC,,0,0,1213.914
EM4013550,Alberta Power (2000) Ltd.,PO Box 498,Battle River GS - Accounts Payable,Forestburg,AB,6. NEW PROSPECT,0,2255,451
EM4006919,Alberta Power (2000) Ltd.,Sheerness GS - Accounts Payable,PO Box 1540,Hanna,AB,ZZ$EXISTING ACCOUNT$,0,529.45,451
BPI003,Baker Hughes Canada Company,4839 - 90 Ave S.E.,,Calgary,AB,ZZ TOP-100 (INSIDE),0,0,46558.828
BAH003,Baker Hughes Canada Company,5050 - 47th Street SE,,Calgary,AB,,0,0,46558.828
BJS001,Baker Hughes Canada Company,4089 - 77th Street,Coiled Tubing Division,Red Deer,AB,4. BRANCH ACCOUNT,0,0,46558.828
SYK4016552,Baker Hughes Canada Company,"1020, 903 - 8th Avenue SW",Att'n: Accounts Payable,Calgary,AB,,0,0,46558.828
BHC005,Baker Hughes Canada Company,3905 - 71 Avenue,,Leduc,AB,TOP 50 - ZOWSLEY,0,55108.03,46558.828
BAH002,Baker Hughes Canada Company,BHI AP General PO / RC / CA02,5525 West Boulevard / Box 703,Vancouver,BC,,0,0,46558.828
DAV166796,Ballard Power Systems,4343 North Fraser Way,,Burnaby,BC,,0,0,15401.67
CT4003902,Ballard Power Systems Inc.,9000 Glenlyon Parkway,,Burnaby,BC,2. TARGET (OUTSIDE),0,0,15401.67
BCH0032,BC Hydro,12326 88th Ave,,Surrey,BC,,0,4485.81,897.162
EM4012271,BC Hydro,10600 Wilson St.,,Mission,BC,3. GOOD PROSPECT,0,0,897.162
DAV239505,BC Hydro,12000 Seven Mile Dam Road,,Trail,BC,3. GOOD PROSPECT,0,0,897.162
CT4004059,BC Hydro,6911 Southpoint Drive / Podium A,,Burnaby,BC,,0,0,897.162
BCH0031,BC Hydro,1833 Gilmore Ave.,,Burnaby,BC,,0,0,897.162
BCH0029,BC Hydro,Non Integrated Area,12326 88th Ave.,Surrey,BC,,0,0,897.162
BCH0028,BC Hydro,6940 - 14th Avenue,,Burnaby,BC,,0,0,897.162
BCH0022,BC Hydro,PO Box 100,5301 Blewett Road,South Slocan,BC,,0,0,897.162
TOM100038,BC Hydro Accounts Payable,6911 Southpoint Drive,,Burnaby,BC,,0,0,0
EM4011355,BCIT,#16 9400 128th Street,,Surrey,BC,6. NEW PROSPECT,0,0,7140.6
BCI004,BCIT - Aerospace,3800 Cessna Drive,,Richmond,BC,3. GOOD PROSPECT,0,0,7140.6
EM4006483,BCIT - Burnaby Campus,3700 Willingdon Avenue,"Facilities Management, NE Bldg 7-Rm 141",Burnaby,BC,2. TARGET (OUTSIDE),0,4817.4,27405.04
BRI001,Brandt Industries Canada,P.O Box 317,13th Avenue & Pinkie Road,Regina,SK,TOP 50 - ZOWSLEY,1405.67,54372.2,456.628
BIC009,Brandt Industries Canada Ltd.,826 58th Street East,,Saskatoon,SK,,0,421.7,456.628
CFT002,C FER Technologies,3712 Roper Rd NW,,Edmonton,AB,,0,3497.76,9963.596
CT4005957,C FER Technologies (1999) Inc.,250 Karl Clark Road,,Edmonton,AB,2. TARGET (OUTSIDE),0,5491.2,9963.596
CII009,CARMA Corp.,3060 Westwood St,locker 436,Port Coquitlam,BC,,0,4355.65,6001.432
CII0015,CARMA Corp.,10259 - 105 Street NW,,Edmonton,AB,,307.12,7377.35,6001.432
CAI004,CARMA Corp.,444 - 5th Avenue SW,Suite 400,Calgary,AB,,0,1672.5,6001.432
CEI0021,Cenovus Energy Inc.,2278 Canada Trust Tower,,Calgary,AB,3. GOOD PROSPECT,0,0,229085.374
CEN002,Cenovus Energy Inc.,Christina Lake SAGD Facility,"Upstream Operations, Integrated Oil Division",Christina Lake,AB,,0,398823.06,229085.374
EM4006910,Cenovus Energy Inc.                (H/O),225 6 Ave SW,PO Box 766 / Att'n: A/P,Calgary,AB,TOP 50 - ZOWSLEY,18743.48,372269.93,229085.374
TOM100116,CSA Group Testing & Certification Inc,1707 - 94th Street,,Edmonton,AB,,0,0,400
CT4000992,CSA Group Testing & Certification Inc,13799 Commerce Parkway,,Richmond,BC,,0,0,400
CGT005,CSA Group Testing & Certification Inc,9669 201 Street,,Langley,BC,,0,0,400
TPX100345,DNOW Canada ULC,PO Box 4395 Station C,,Calgary,AB,3. GOOD PROSPECT,0,0,369.6
CFL004,DNOW Canada ULC,380 Mackenzie Blvd.,Bldg 1C,Fort McMurray,AB,,0,1848,369.6
EM4011651,Dow Chemical Canada ULC,Hwy 597 & Prentiss Road,,LaCombe County,AB,4. BRANCH ACCOUNT,0,0,505.136
DAV262375,Dow Chemical Canada ULC,"Hwy 15, Bldg 141A","Main Gate, Main Warehouse",Fort Saskatchewan,AB,3. GOOD PROSPECT,0,1310.68,505.136
AL166737,Dow Chemical Canada ULC,PO Bag 5501,Prentiss Site,Red Deer,AB,6. NEW PROSPECT,0,0,505.136
DYE002,Dynamo Electric,135 Henderson Dr,,Regina,SK,2. TARGET (INSIDE),0,0,848.524
DAV202947,Dynamo Electric,1383 Fletcher Road,,Saskatoon,SK,2. TARGET (INSIDE),0,0,848.524
CT4000933,Eaton Industries (Canada) Company,12465-153 Street NW,,Edmonton,AB,,0,0,3151.226
EAC001,Eaton Industries (Canada) Company,1693 Cliveden Ave.,,Delta,BC,2. TARGET (INSIDE),0,4995.84,3151.226
CT4001146,Finning (Canada),19498 - 92 Avenue,,Surrey,BC,3. GOOD PROSPECT,0,311.74,782.632
TPX100316,Finning (Canada)        (H/O),16901-109 Avenue,Att'n: Accounts Payable,Edmonton,AB,2. TARGET (INSIDE),0,0,0
FES008,Flint Energy Services Ltd.,Div. of ClearStream Energy Services Inc.,10414 - 84 Avenue,Clairmont,AB,,0,5106.92,1553.316
FES001,Flint Energy Services Ltd.,"700, 300 - 5 Ave SW",,Calgary,AB,3. GOOD PROSPECT,0,0,1553.316
FTC002,FMC Technologies Canada Ltd.,PO Box 539,,Cold Lake,AB,,0,0,0
PUE003,FMC Technologies Canada Ltd.,4115 - 78th Street Crescent,,Red Deer,AB,,0,0,0
PES009,FMC Technologies Canada Ltd.,"10th Floor, 333 - 11th Avenue SW",,Calgary,AB,6. NEW PROSPECT,0,0,0
FPP001,Frontier Power Products,10547 - 42 Street SE,,Calgary,AB,2. TARGET (INSIDE),0,5131.69,6693.096
DAV115191,Frontier Power Products,9204 - 37 Avenue,,Edmonton,AB,2. TARGET (INSIDE),0,22051.33,6693.096
DAV115190,Frontier Power Products ULC  (H/O),7983 Progress Way,,Delta,BC,,0,3897.8,2848.1
GER005,General Energy Recovery Inc.,"Site #6, Reinhart Industrial Park",PO Box 914,Lloydminster,AB,,0,0,942.84
GER004,General Energy Recovery Inc.,850-635 8th Ave SW,,Calgary,AB,,0,0,942.84
GFI001,General Fusion Inc,103 - 3680 Bonneville Place,,Burnaby,BC,,0,16357,3271.4
GFI003,General Fusion Inc,"Suite 320, 3600 Lysander Lane",,Richmond,BC,,0,0,3271.4
EMA303307,Halliburton Group Canada           (H/O),"#1800, 645-7th Ave. SW",Accounts Payable Dept.,Calgary,AB,3. GOOD PROSPECT,0,0,no match
HSD001,Halliburton Group Canada - Nisku North,1406 - 5th Street,(Entrance off 4th St.),Nisku,AB,TOP 50 - ZOWSLEY,2837.7,296946.28,73337.096
INT008,Intertek Testing Servs NA Ltd.,1500 Brigantine Drive,,Coquitlam,BC,,0,0,0
INT0021,Intertek Testing Servs NA Ltd.,14920 - 135 Ave.,,Edmonton,AB,,0,0,0
KON002,Konecranes Canada Inc.,#10 - 1585 Cliveden Ave.,,Delta,BC,,0,0,579.6
KCI007,Konecranes Canada Inc.,3332 114 ave SE,,Calgary,AB,,0,0,579.6
LTC003,Luxmux Technology Corporation,5 Richmond Way SW,,Calgary,AB,,0,0,0
LTC002,Luxmux Technology Corporation,"1030, 2424 - 4th Street SW",,Calgary,AB,,0,0,0
MIE005,Magna IV Engineering,3140 - 114 Avenue SE,,Calgary,AB,,0,5289.76,424.376
DAV161037,Magna IV Engineering       (H/O),1103 Parsons Road SW,,Edmonton,AB,2. TARGET (OUTSIDE),0,0,424.376
CT999,Manitoba Hydro,12 - 1146 Waverley St.,,Winnipeg,MB,ZZ TOP-100 (INSIDE),0,0,183.168
CT4004355,Manitoba Hydro,1840 Chevrier Blvd,Door 15 - Central Stores,Winnipeg,MB,4. BRANCH ACCOUNT,0,0,183.168
CT4001770,Manitoba Hydro    (H/O),PO Box 815,Accounts Payable Section,Winnipeg,MB,,0,0,0
NRC003,National Research Council,5071 West Saanich Road,,Victoria,BC,6. NEW PROSPECT,0,0,1007.168
TPX100321,National Research Council,Institute for Biodiagnostics,435 Ellice Avenue,Winnipeg,MB,3. GOOD PROSPECT,0,0,1007.168
EM4014155,National Research Council,Institute for Fuel Cell Innovation,4250 Wesbrook Mall,Vancouver,BC,3. GOOD PROSPECT,0,5035.84,1007.168
EM4011310,National Research Council,Drao Pen White Lake Road,"PO Box 248, Stn. Main",Penticton,BC,6. NEW PROSPECT,0,0,1007.168
NET0010,Neurio Technology,768 Seymour St,,Vancouver,BC,,0,2748,9254.2
NTI0010,Neurio Technology Inc.,6th Floor - 555 Robson Street,,Vancouver,BC,2. TARGET (OUTSIDE),0,24037,9254.2
DAV229159,NOV Canada ULC,PO Box 667,Station M,Calgary,AB,,0,0,2417.55
NCA002,NOV Canada ULC,7910 - 48 Street SE,,Calgary,AB,,0,0,2417.55
DES0013,NOV Canada ULC,Completion & Production Solutions,6771 - 84 Street SE,Calgary,AB,2. TARGET (OUTSIDE),0,0,2417.55
EM4014368,Nova Chemicals,2928 - 16th Street NE,,Calgary,AB,ZZ D FAIR PROSPECT,0,0,97.44
NOC003,NOVA Chemicals Corporation,38430 Highway 815,,Lacombe County,AB,,0,56.64,409.578
EM4009063,Sask Power,Boundary Dam Power Station,Highway #18 West / PO Box 790,Estevan,SK,ZZ$EXISTING ACCOUNT$,0,0,0
CT4001665,Sask Power                         (H/O),2025 Victoria Avenue,c/o A.P. / 4th Floor NE,Regina,SK,3. GOOD PROSPECT,0,0,0
TPZ1028,Sask Tel,140 - 1st Avenue North,4th Floor,Saskatoon,SK,6. NEW PROSPECT,0,0,0
EM4011241,Sask Tel,2121 Saskatchewan Dr.,6th Floor,Regina,SK,6. NEW PROSPECT,0,0,0
EM4006713,Sask Tel,2133 1st Avenue,2nd floor,Regina,SK,5. QUALIFIED LOW,0,0,0
SIH003,Saskatchewan Polytechnic,Administrative Offices,"400 - 119, 4th Avenue South",Saskatoon,SK,4. BRANCH ACCOUNT,0,0,758.4
EM4006416,Saskatchewan Polytechnic Moose Jaw Campus,Saskatchewan St. & 6th Ave NW,PO Box 1420,Moose Jaw,SK,2. TARGET (OUTSIDE),0,0,758.4
EM4011538,Saskatchewan Polytechnic Saskatoon Campus,PO Box 1550,1130 Idylwyld Dr. North,Saskatoon,SK,2. TARGET (OUTSIDE),0,0,0
SRC001,Saskatchewan Research Council,6 Research Drive,PTRC Building,Regina,SK,4. BRANCH ACCOUNT,0,0,686.31
EM4011640,Saskatchewan Research Council (H/O),15 Innovation Blvd.,,Saskatoon,SK,3. GOOD PROSPECT,0,0,686.31
SCH008,Schlumberger,2167 Brier Park Place,,Medicine Hat,AB,,0,0,5400
SCH009,Schlumberger,9450-17 Avenue,,Edmonton,AB,,0,0,5400
EM4008712,Schlumberger,"#1, 8075 - 49th Ave",,Red Deer,AB,3. GOOD PROSPECT,0,0,5400
DAV250383,Schlumberger,Edmonton Products Center,9803 – 12th Avenue SW,Edmonton,AB,ZZ TOP-100 (INSIDE),0,0,5400
SCH006,Schlumberger Canada Ltd.,SMITH Completions,7023 - 56 Avenue,Edmonton,AB,4. BRANCH ACCOUNT,0,0,5400
DAV273417,Schlumberger Canada Ltd.,1606 - 8th Street,,Nisku,AB,,0,0,5400
PMO001,Schneider Electric Canada,2195 Keating Cross Road,,Saanichton,BC,2. TARGET (INSIDE),0,0,5467.042
SCE001,Schneider Electric Canada Inc.,2195 Keating Cross Rd.,,Saanichton,BC,3. GOOD PROSPECT,23814,0,5467.042
DAV71925,Schneider Electric Canada Inc.,22171 Fraserwood Way,,Richmond,BC,,0,994.44,5467.042
CT4003379,Schneider Electric Canada Inc.,21325 115 Avenue NW,,Edmonton,AB,TOP 50 - ZOWSLEY,0,4681.95,5467.042
SEC0023,Schneider Electric Solar Inc.,13091 Vanier Place,Unit 100,Richmond,BC,TOP 50 - ZOWSLEY,0,41427.39,8607.066
EM4014453,Shermco Industries,1033 Kearns Cr.,,RM of Sherwood,SK,3. GOOD PROSPECT,0,0,3008.904
AL285567,Shermco Industries,1375 Church Ave,,Winnipeg,MB,6. NEW PROSPECT,0,0,3008.904
SFU001,Simon Fraser University,250 - 13450 102nd Ave.,Surrey Campus Central City,Surrey,BC,3. GOOD PROSPECT,0,0,674.25
EM4006473,Simon Fraser University,"Payment Services, Discovery 1, Room 1625",8999 Nelson Way,Burnaby,BC,2. TARGET (OUTSIDE),0,2000,674.25
SIM003,Simson Maxwell,467 Exploration Ave. SE,,Calgary,AB,,0,182.88,6328.556
SIM002,Simson Maxwell,#12 - 4131 Mostar Road,,Nanaimo,BC,3. GOOD PROSPECT,0,0,6328.556
AL295772,Simson Maxwell,1846 South Quinn Street,,Prince George,BC,ZZ D FAIR PROSPECT,0,925.72,6328.556
CT4001056,Simson Maxwell (H/O),1605 Kebet Way,,Port Coquitlam,BC,TOP 50 - ZOWSLEY,795.24,9210.21,6328.556
SCL0035,Spartan Controls Ltd.,60 - 11550 Barlow Trail NE,,Calgary,AB,,0,20339.34,4067.868
DAV203366,Spartan Controls Ltd.,8403 - 51 Avenue,,Edmonton,AB,3. GOOD PROSPECT,0,0,4067.868
DAV103096,Spartan Controls Ltd.     (H/O),305 - 27th Street SE,,Calgary,AB,TOP 50 - ZOWSLEY,0,675.84,3031.824
STC0028,Steelhaus Technologies Canada Ltd.,7679 Edgar Industrial Court,Bay 3 and 4,Red Deer,AB,,1799.2,5490.3,2413.26
SCL0032,Steelhaus Technologies Canada Ltd.,"Unit 350, 520 - 5th Avenue SW",,Calgary,AB,,0,5946.92,2413.26
STG004,Strike Group,594066 Range Rd 125A,Box 839 Stn Main,Whitecourt,AB,,0,924.56,4522.732
STE009,Strike Group  (H/O),"Bay 135, 3953 - 112 Avenue SE",,Calgary,AB,,0,2773.68,3253.41
SOS0012,Swift Oilfield Supply Incorporated,5902 Alexander Avenue,,Athabasca,AB,,0,0,453.6
SOS0011,Swift Oilfield Supply Incorporated,5114 - 63 Street,,Lloydminster,AB,,0,0,453.6
EM4014625,Telus,5506 - 92C Avenue,,Edmonton,AB,6. NEW PROSPECT,0,0,340.688
TEL0029,Telus - Field Service (Vegreville),5013 51 Avenue,,Vegreville,AB,,0,0,0
TCI0022,TELUS Communications Inc.,2002 Enterprise Way,Floor 02,Kelowna,BC,,0,7140,2327.08
TCI0012,Telus Communications Inc. (H/O),PO Box 1830 / Accounts Payable,Stn. Main Edmonton,Edmonton,AB,,0,825.64,340.688
TPX100342,Underwriters Laboratories of Canada,130-13775 Commerce Pkwy,,Richmond,BC,3. GOOD PROSPECT,0,0,291.008
ULO004,Underwriters Laboratories of Canada Inc.,1040 Parsons Road SW,,Edmonton,AB,2. TARGET (OUTSIDE),0,0,291.008
UOA009,University Of Alberta,Edmonton Clinic Health Academy,11405-87 Ave NW,Edmoton,AB,,0,0,0
UOA002,University of Alberta,"6004,  118st NW",Poulty Research,Edmonton,AB,3. GOOD PROSPECT,0,0,8402.236
CT4004371,University of Alberta,"E3-012 ETLC, Electrical & Computer Engineering",116 Street & 85 Avenue,Edmonton,AB,,0,1600,8402.236
BP1177363,University of Alberta,116 Street & 85th Avenue,Supply Management Services,Edmonton,AB,,0,1500.96,8402.236
UOB004,University of British Columbia,3333 University Way,School of Engineering,Kelowna,BC,,0,0,546.8
UOB009,University of British Columbia,"6190 Agronomy Road, 5th Floor",Financial Operations / Accounts Payable,Vancouver,BC,,0,0,546.8
UOB007,University of British Columbia,2329 West Mall - Building Operations,University Services Building,Vancouver,BC,,0,1626.8,546.8
UOB005,University of British Columbia,"6224 Agricultural Rd, Hennings Bldg","Engineering Physics, Room 333A",Vancouver,BC,,0,18156.13,546.8
UOB002,University of British Columbia,"2075 Wesbrook Mall, 1st Floor",Supply Management,Vancouver,BC,3. GOOD PROSPECT,0,0,546.8
UOB0011,University of British Columbia,School of Engineering,1137 Alumni Ave,Kelowna,BC,,0,2163.34,546.8
TPX100313,University of British Columbia,2356 Main Mall - Room 112B,Electrical & Computer Eng'g - MacLeod Bldg.,Vancouver,BC,2. TARGET (OUTSIDE),0,3298,546.8
EM4014505,University of British Columbia,2355 East Mall (Brimcombe Bldg),,Vancouver,BC,ZZ$EXISTING ACCOUNT$,0,0,546.8
EM4006475,University of British Columbia,6174 University Blvd.,Chemistry Department,Vancouver,BC,6. NEW PROSPECT,0,0,546.8
EM4006248,University of British Columbia,6250 Applied Science Lane,Civil Enginering Department,Vancouver,BC,6. NEW PROSPECT,0,0,546.8
EM4006166,University of British Columbia,6250 Applied Science Lane,Mechanical Engineering Department,Vancouver,BC,ZZ$EXISTING ACCOUNT$,0,1082,546.8
CT4005096,University of British Columbia,2036 Main Mall,Department of Chemistry,Vancouver,BC,ZZ$EXISTING ACCOUNT$,140,0,546.8
CT4004613,University of British Columbia,#176 - 2360 East Mall,Chemical & Biological Engineering,Vancouver,BC,3. GOOD PROSPECT,0,0,546.8
CT4001558,University of British Columbia,6-6350 Stores Road,Materials Engineering Department,Vancouver,BC,ZZ$EXISTING ACCOUNT$,0,0,546.8
CT4001063,University of British Columbia,6224 Agricultural Road,Physics & Astronomy Department,Vancouver,BC,ZZ$EXISTING ACCOUNT$,0,0,546.8
UOM006,University of Manitoba,"E2-390 EITC Building, Fort Gary Campus",Electrical & Computer Engineering,Winnipeg,MB,,0,0,3460.426
UOM003,University of Manitoba,Supplier Payment Services,414 Administration Bldg.,Winnipeg,MB,,0,5857,3460.426
UOM001,University of Manitoba,"75 Chancellor's Circle, E2-390 EITC",Dept. of Elect. & Comp. Eng.,Winnipeg,MB,2. TARGET (OUTSIDE),0,777,3460.426
EM4011501,University of Manitoba,E1-368 Engineering Bldg,15 Gillson Street,Winnipeg,MB,,0,0,3460.426
EM4009049,University of Saskatchewan,Saskatchewan Accele Laboratory,,Saskatoon,SK,6. NEW PROSPECT,0,0,43.4
DAV124758,University of Saskatchewan,Facilities Management,110 Maintenance Road,Saskatoon,SK,ZZ D FAIR PROSPECT,0,0,43.4
CT4005967,University of Saskatchewan,Engineering Building,57 Campus Drive,Saskatoon,SK,2. TARGET (OUTSIDE),0,0,43.4
UOT006,University of the Fraser Valley,5579 Tyson Rd.,,Chilliwack,BC,,0,0,0
UOT005,University of the Fraser Valley,UFV Accounts Payable,33844 King Road,Abbotsford,BC,,0,0,0
UOV002,University of Victoria,"Room 120, McKinnon Building",3800 Finnerty Road,Victoria,BC,,0,0,1991.628
UOV001,University of Victoria,Box 1700 Stn CSC,Purchasing Services,Victoria,BC,2. TARGET (OUTSIDE),0,0,1991.628
CT4001617,University of Victoria,PO Box 3055 Stn CSC,Rm 108 Eng off Wing,Victoria,BC,6. NEW PROSPECT,0,0,1991.628
