Customer No.,Company,Address,Address 2,City,State,Sub Type,Bookings YTD,Previous Years Bookings,5Y Average
3PP001,3 Phase Power Systems Inc.,1323 Kelliher Road,,Prince George,BC,2. TARGET (OUTSIDE),0,0,1213.914,2
3PP003,3 Phase Power Systems Inc.,#7 - 7551 Vantage Way,,Delta,BC,,0,0,1213.914,2
3PP004,3 Phase Power Systems Inc.  (H/O),7168 Honeyman St.,,Delta,BC,,0,0,1213.914,2
FOQ001,4th Quadrant Solutions Inc.,107 Coverdale Way N.E.,,Calgary,AB,5. QUALIFIED LOW,0,0,0,1
ASI0014,Aarcomm Systems Inc.,106-18 Fawcett Road,,Coquitlam,BC,,0,0,81.628,1
EM4006470,ABB Ber Mac,250 - 42nd Avenue SE,,Calgary,AB,3. GOOD PROSPECT,0,0,0,1
CT4000930,ABB Inc.,9800 Endeavor Drive SE,,Calgary,AB,3. GOOD PROSPECT,0,0,0,1
ACA005,ACAMP,1919 - 94th Street NW,,Edmonton,AB,,0,0,0,1
ACC0024,Acceleware Ltd.,435 - 10th Avenue SE,,Calgary,AB,2. TARGET (OUTSIDE),0,0,6883.4,1
APG001,Accurate Power Group,#107 - 1089 East Kent Ave. N,,Vancouver,BC,3. GOOD PROSPECT,0,2896.56,579.312,1
AFG002,ACR Fuller Group,511 - 12th Avenue,,Nisku,AB,,0,0,1461.6,1
EM4008978,ACR Systems Inc.,15110 - 54A Ave.,Unit 201,Surrey,BC,6. NEW PROSPECT,0,0,0,1
ASL001,Acutec Systems Ltd.,109 Main St.,PO Box 217,Lampman,SK,3. GOOD PROSPECT,0,0,0,1
ADC003,"Advanced Cyclotron Systems, Inc.",7851 Alderbridge Way,,Richmond,BC,,140.62,718.56,817.87,1
AFS004,Advanced Flow Systems Inc.,PO Box 709,Stn Whonnock,Maple Ridge,BC,5. QUALIFIED LOW,0,0,0,1
ASI001,Advanced Systems Integrators Ltd.,9002 - 161 St.,,Surrey,BC,5. QUALIFIED LOW,0,0,116.412,1
AIS0015,AEC Industrial Solutions,102 - 243 Clearview Drive,,Red Deer County,AB,TOP 50 - ZOWSLEY,0,22259.52,7809.68,1
AAS004,Aerocorp Avionic Solutions Inc.,125 - 4950 McCall Way NE,,Calgary,AB,,0,0,1695.48,1
TOM100287,Agricultural Technology Centre,ARC Eng'g Serv. Branch,3020 College Dr. South,Lethbridge,AB,3. GOOD PROSPECT,0,0,0,1
SAF003,AI Radar,1795 Powell Street,Suite 300,Vancouver,BC,,0,2897,579.4,1
RT57658,Aircom Instrumentation Ltd,9328 - 37 Avenue,,Edmonton,AB,6. NEW PROSPECT,0,4863.38,1614.68,1
AGN001,AKVA Group North America Inc  (H/O),"#400 - 1481, 16th Ave.",,Campbell River,BC,2. TARGET (OUTSIDE),0,0,2232.4,1
EM4011438,Alberta Industrial Controls & Drives Inc.,9720 - 47 Avenue,,Edmonton,AB,3. GOOD PROSPECT,0,7084.93,3161.928,1
AMI0023,Alberta Machine Intelligence Institute,"#1101, 10065 Jasper Avenue",,Edmonton,AB,,0,0,25.024,1
AMP003,Alberta Mobile Power Systems,"#103, 3906 - 71 Avenue",,Leduc,AB,,0,0,522.446,1
AOT001,Alberta Oil Tool,9530 60th Avenue,,Edmonton,AB,3. GOOD PROSPECT,0,0,0,1
EM4006919,Alberta Power (2000) Ltd.,Sheerness GS - Accounts Payable,PO Box 1540,Hanna,AB,ZZ$EXISTING ACCOUNT$,0,529.45,451,2
EM4013550,Alberta Power (2000) Ltd.,PO Box 498,Battle River GS - Accounts Payable,Forestburg,AB,6. NEW PROSPECT,0,2255,451,2
DAV121750,Allied Cathodic Services L.P.,#6 Hwy 39 East,PO Box 1338,Estevan,SK,3. GOOD PROSPECT,0,0,1539.88,1
ALC0019,"Allteck Line Contractors, Inc.",310 - 4260 Still Creek Drive,,Burnaby,BC,,0,0,0,1
ALC0020,"Allteck Line Contractors, Inc.",16 Collins Road,,Dawson Creek,BC,,0,0,0,1
CT4000975,Alpha Technologies Ltd.,7700 Riverfront Gate,,Burnaby,BC,TOP 50 - ZOWSLEY,0,84572,28482.1,1
DAV186823,Alpine Aerotech Ltd,1260 Industrial Drive,,Kelowna,BC,3. GOOD PROSPECT,0,0,0,1
DAV288098,AltaGas Operating Partnership,Ethane Extraction Plant,10001 - 29th Avenue,Edmonton,AB,3. GOOD PROSPECT,0,0,127.2,1
APS009,AltaStream Energy Inc.,6475 64th Street,,Delta,BC,3. GOOD PROSPECT,0,0,0,1
AOU001,Always On UPS Systems Canada Inc.,"#100, 150 Campion Road",,Kelowna,BC,,0,0,0,1
AEC0011,Amaritech Electric & Controls Ltd.,102-243 Clearview Drive,,Red Deer,AB,6. NEW PROSPECT,0,0,0,1
EM4014107,Ametek Canada LP,2876 Sunridge Way NE,,Calgary,AB,2. TARGET (OUTSIDE),0,0,4653.55,1
TP4518,Analytic Systems Inc.,8128 River Way,,Delta,BC,,0,0,0,1
EM4011702,Andritz Automation,#100 - 13700 International Place,,Richmond,BC,,0,0,0,1
ANP001,Angstrom Power Incorporated,#109 - 980 West 1st Street,,North Vancouver,BC,3. GOOD PROSPECT,0,0,0,1
AEM005,Anodyne Electronics Manufacturing Corp.,#15 - 1925 Kirschner Road,,Kelowna,BC,2. TARGET (OUTSIDE),0,0,1722,1
AAC004,ARP Automation Controls Inc.,"#200, 80042 - 475 Avenue",,High River,AB,,0,1353.36,567.588,1
DAV164770,ATCO Electric Ltd.,5001 - 47th Avenue,PO Box 309,Two Hills,AB,3. GOOD PROSPECT,0,0,0,2
EM4008548,ATCO Electric Ltd.,104 Birch Road NE,,Slave Lake,AB,5. QUALIFIED LOW,0,0,0,2
CT4000895,ATCO Electric Ltd.                 (H/O),10035-105 Street,PO Box 2426,Edmonton,AB,ZZ$EXISTING ACCOUNT$,0,0,0,1
CT4000985,Atlantis Submarines Int'l Inc.,#200-210 West 6th Avenue,,Vancouver,BC,ZZ$EXISTING ACCOUNT$,665.8,1066.6,582.498,1
ATI0022,ATTAbotics Inc.,7944 10th Street NE,,Calgary,AB,2. TARGET (OUTSIDE),0,2517.48,4352.34,1
CT4005512,August Electronics Inc.,1810 Centre Ave. NE,,Calgary,AB,2. TARGET (INSIDE),0,0,58.632,1
